Category,Type,Lot #,Shape,Carat,Color,Clarity,Cut,Pol.,Sym.,Depth %,Table %,Fluor.,Measurement,Lab,Certificate #,Rap. Price,Discount,Price/Ct,Total Price,Cert,Video,Cert,Video,,
Certified,.3-.49,10179,TRIL,0.44,K,VS2,,F,G,40.1,61,STG,5.47 x 5.74 x 2.30,GIA,5171819329,"$1,100 ",-40.00%,$660 ,$290 ,CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5171819329,http://up.diacam360.com/scan/ac88_99222,,
Certified,6+,8869A,RD,8.46,FC,SI2,EX,VG,EX,61.8,56,VST,13.08 x 13.16 x 8.11,IGI,S3H79496,$0 ,,"$4,800 ","$40,608 ",,VIDEO,0,https://up.diacam360.com/scan/7278_379971,,
Certified,6+,8869B,RD,8.46,FC,SI2,,,,0,0,STG,13.15 x 13.08 x 8.14,,,$0 ,,"$4,800 ","$40,608 ",,VIDEO,0,https://up.diacam360.com/scan/7278_379971,,
Certified,6+,A1032,RD,6.01,G,SI2,,VG,VG,63.2,57,Medium,11.48 x 11.44 x 7.24,,,"$22,500 ",-54.00%,"$10,349 ","$62,197 ",,VIDEO,0,https://up.diacam360.com/scan/e6ac_283036,,
Certified,6+,11148,RD,7.02,I,VS1,EX,EX,EX,59.8,62,FNT,12.43 x 12.34 x 7.40,GIA,2195251280,"$29,000 ",-30.00%,"$20,300 ","$142,506 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2195251280,https://up.diacam360.com/scan/3604_273173,,
Certified,6+,8384,RD,7.02,J,SI3,,VG,VG,58,65,None,12.45 x 12.38 x 7.19,,,"$7,500 ",-33.00%,"$5,025 ","$35,276 ",,VIDEO,0,http://up.diacam360.com/scan/096b_37853,,
Certified,6+,9665,RD,6.1,K,VS1,VG,VG,G,59.6,65,NON,12.03 x 11.87 x 7.12,GIA,6157115274,"$17,000 ",-34.00%,"$11,220 ","$68,442 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6157115274,http://up.diacam360.com/scan/5c06_37842,,
Certified,6+,8892,RD,6.12,K,VS2,VG,VG,VG,58.6,65,NON,12.07 x 12.02 x 7.05,GIA,2135692492,"$16,500 ",-23.00%,"$12,705 ","$77,755 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2135692492,http://up.diacam360.com/scan/adc5_37835,,
Certified,6+,11853,RD,6,L,VS2,EX,EX,EX,63.7,56,FNT,11.50 x 11.42 x 7.30,GIA,2205166406,"$12,000 ",-32.00%,"$8,160 ","$48,960 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2205166406,0,,
Certified,6+,8433,RD,6.25,L,VS2,VG,EX,EX,58.7,62,NON,12.06 x 12.03 x 7.06,GIA,2145553846,"$12,000 ",-19.15%,"$9,702 ","$60,638 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2145553846,http://up.diacam360.com/scan/c71e_37845,,
